tshirt,positive_pant,detailed,medium,low,empty,dif
f7fd744bb61f4e6a2f88b2a3c95451e1,79f8129da7fc02040182e275c552810e,"An image of high-waisted straight-leg blue denim jeans in sturdy cotton, featuring a self-tie wrap belt and classic five-pocket detailing",Generate an image of blue straight-leg denim jeans with a high waist and wrap belt,Generate an image of straight-leg jeans, ,"A photo of a Jeans, on white background, high quality."
661563234f8d069d3f27b1cb50456f9a,762eb3c929535bb7a86fefcdfce30635,"An image of black fleece streetwear drawstring shorts with zipper pockets, relaxed fit, knee length, and a soft brushed texture",Generate an image of black relaxed-fit fleece drawstring shorts with zippers,Generate an image of drawstring shorts, ,"A photo of a Drawstring Shorts, on white background, high quality."
db18b4e8c2002d020a02651ae5356299,f9de0209553f45f9a3f155f548e2f9af,"An image of black distressed high-waisted mom jeans made of rugged denim, featuring a relaxed tapered fit and a removable D-ring belt",Generate an image of black high-waisted mom jeans with a relaxed fit,Generate an image of mom jeans, ,"A photo of a Jeans, on white background, high quality."
9f95a13c0ca2c8e0bc433ab3b2236202,f362b931354561175e8acef941ae113a,"An image of high-rise straight leg blue denim jeans with raw hems, crafted from sturdy cotton and featuring classic five-pocket detailing",Generate an image of straight-leg high-rise denim jeans with raw hems,Generate an image of straight leg jeans, ,"A photo of a Jeans, on white background, high quality."
352c879b365500882c74f25c25d8f52d,d507b19a8f2b620844a1c6262b3fac5b,"An image of black cotton-blend drop-crotch harem jogger sweatpants with a relaxed fit, elastic waistband, tapered legs and ribbed cuffs",Generate an image of black drop-crotch harem jogger sweatpants with a relaxed fit,Generate an image of harem sweatpants, ,"A photo of a Sweatpants, on white background, high quality."
21ef2892b77ffa5170dfba726a9e5e99,7930a69e0841b6af164511c8bf4250bb,An image of  black denim skinny jeans with a high-waisted fit and ripped distressing along the legs,Generate an image of  black high-waist skinny jeans,Generate an image of skinny jeans, ,"A photo of a Jeans, on white background, high quality."
e8215001d78ff4259300d27c2d191fe8,9ea3801e830bdc80a52b86983f672774,"Generate an image of black cropped wide-leg dress trousers crafted from smooth wool-blend suiting fabric, featuring a tailored high-rise waistband, pressed front creases, and a clean cropped hem",Generate an image of black cropped wide-leg dress trousers,Generate an image of dress trousers, ,"A photo of a Trousers, on white background, high quality."
82d047005db8b0f29148a65684be7ddc,c3eec5264457b5fd173697ff9ae83ace,"An image of white denim shorts in a regular fit made from sturdy denim, featuring a frayed hem and a vibrant rainbow side stripe",Generate an image of white denim frayed-hem shorts with a rainbow side stripe,Generate an image of frayed-hem shorts, ,"A photo of a Denim Shorts, on white background, high quality."
73bf77df78428bec91c5e2d18d31a3e6,2bb285beb457fc672d25e57a75429378,"An image of  light grey cotton cargo jogger pants featuring a relaxed tapered fit, elastic drawstring waistband, multiple cargo pockets, and ribbed ankle cuffs",Generate an image of light grey cargo jogger pants with a tapered fit,Generate an image of cargo jogger pants, ,"A photo of a Cargo Jogger Pants, on white background, high quality."
a8e7c3b44122026e20a52c38ca43c9ec,957374c76e7d49abedf0a4f3ac55b1b6,"An image of  black wide-leg cropped trousers in lightweight woven fabric, featuring a high waist with a self-tie belt, relaxed drape, and neatly finished cropped hems",Generate an image of black high-waisted wide-leg cropped trousers,Generate an image of cropped trousers, ,"A photo of a Trousers, on white background, high quality."
